[2024-09-14T11:03:25.697167] Incident queue is empty
[2024-09-14T11:03:26.697427] Incident queue is empty
[2024-09-14T11:03:27.697840] Incident queue is empty
[2024-09-14T11:03:28.698135] Incident queue is empty
[2024-09-14T11:03:29.698404] Incident queue is empty
[2024-09-14T11:03:30.698669] Incident queue is empty
[2024-09-14T11:03:31.698944] Incident queue is empty
[2024-09-14T11:03:32.699210] Incident queue is empty
[2024-09-14T11:03:33.699455] Incident queue is empty
[2024-09-14T11:03:34.699687] Incident queue is empty
[2024-09-14T11:03:35.699982] Incident queue is empty
[2024-09-14T11:03:36.700268] Incident queue is empty
[2024-09-14T11:03:37.700557] Incident queue is empty
[2024-09-14T11:03:38.700842] Incident queue is empty
[2024-09-14T11:03:39.701129] Incident queue is empty
[2024-09-14T11:03:40.701417] Incident queue is empty
[2024-09-14T11:03:41.701657] Incident queue is empty
[2024-09-14T11:03:42.701930] Incident queue is empty
[2024-09-14T11:03:43.702265] Incident queue is empty
[2024-09-14T11:03:44.702572] Incident queue is empty
[2024-09-14T11:03:45.408964] New report arrived
[2024-09-14T11:03:45.702861] New truck assigned: ABC123
[2024-09-14T11:05:45.703174] ETA assigned: 14/09/2024 11:08:45, Minutes left: 2
[2024-09-14T11:05:45.703905] Report updated in file: {'user_id': 'user123', 'coordinates': (40.712776, -74.005974), 'severity': 5, 'hash': '56d79f57-ffa2-46fc-9660-8a1ef5630a58', 'timestamp': '2024-09-14T11:03:45.408929', 'processed': True, 'truck_assigned': 'ABC123', 'ETA': '2024-09-14T11:08:45.703077'}
[2024-09-14T11:05:46.704101] Incident queue is empty
[2024-09-14T11:05:47.704430] Incident queue is empty
[2024-09-14T11:05:48.704745] Incident queue is empty
[2024-09-14T11:05:49.705036] Incident queue is empty
[2024-09-14T11:05:50.705340] Incident queue is empty
[2024-09-14T11:05:51.705611] Incident queue is empty
[2024-09-14T11:05:52.705853] Incident queue is empty
[2024-09-14T11:05:53.706399] Incident queue is empty
[2024-09-14T11:05:54.706725] Incident queue is empty
[2024-09-14T11:05:55.707042] Incident queue is empty
[2024-09-14T11:05:56.707332] Incident queue is empty
[2024-09-14T11:05:57.707680] Incident queue is empty
[2024-09-14T11:05:58.708168] Incident queue is empty
[2024-09-14T11:05:59.708753] Incident queue is empty
[2024-09-14T11:06:00.709307] Incident queue is empty
[2024-09-14T11:06:01.709645] Incident queue is empty
[2024-09-14T11:06:02.710124] Incident queue is empty
[2024-09-14T11:06:03.710552] Incident queue is empty
[2024-09-14T11:06:04.710778] Incident queue is empty
[2024-09-14T11:06:05.711014] Incident queue is empty
[2024-09-14T11:06:06.711248] Incident queue is empty
[2024-09-14T11:06:07.711529] Incident queue is empty
[2024-09-14T11:06:08.711778] Incident queue is empty
[2024-09-14T11:06:09.712123] Incident queue is empty
[2024-09-14T11:06:10.712439] Incident queue is empty
[2024-09-14T11:06:11.712686] Incident queue is empty
[2024-09-14T11:06:12.712972] Incident queue is empty
[2024-09-14T11:06:13.713283] Incident queue is empty
[2024-09-14T11:06:14.713596] Incident queue is empty
[2024-09-14T11:06:15.713977] Incident queue is empty
[2024-09-14T11:06:16.714523] Incident queue is empty
[2024-09-14T11:06:17.714863] Incident queue is empty
[2024-09-14T11:06:18.715197] Incident queue is empty
[2024-09-14T11:06:19.715530] Incident queue is empty
[2024-09-14T11:06:20.715874] Incident queue is empty
[2024-09-14T11:06:21.716133] Incident queue is empty
[2024-09-14T11:06:22.716526] Incident queue is empty
[2024-09-14T11:06:23.717005] Incident queue is empty
[2024-09-14T11:06:24.717610] Incident queue is empty
[2024-09-14T11:06:25.717969] Incident queue is empty
[2024-09-14T11:06:26.718408] Incident queue is empty
[2024-09-14T11:06:27.718804] Incident queue is empty
[2024-09-14T11:06:28.719104] Incident queue is empty
[2024-09-14T11:06:29.719654] Incident queue is empty
[2024-09-14T11:06:30.720014] Incident queue is empty
[2024-09-14T11:06:31.720252] Incident queue is empty
[2024-09-14T11:06:32.720582] Incident queue is empty
[2024-09-14T11:06:33.720937] Incident queue is empty
[2024-09-14T11:06:34.721259] Incident queue is empty
[2024-09-14T11:06:35.721517] Incident queue is empty
[2024-09-14T11:06:36.722031] Incident queue is empty
[2024-09-14T11:06:37.722355] Incident queue is empty
[2024-09-14T11:06:38.722599] Incident queue is empty
[2024-09-14T11:06:39.723380] Incident queue is empty
[2024-09-14T11:06:40.723613] Incident queue is empty
[2024-09-14T11:06:41.724216] Incident queue is empty
[2024-09-14T11:06:42.724544] Incident queue is empty
[2024-09-14T11:06:43.724868] Incident queue is empty
[2024-09-14T11:06:44.725236] Incident queue is empty
[2024-09-14T11:06:45.725640] Incident queue is empty
[2024-09-14T11:06:46.726168] Incident queue is empty
[2024-09-14T11:06:47.726682] Incident queue is empty
[2024-09-14T11:06:48.726940] Incident queue is empty
[2024-09-14T11:06:49.727226] Incident queue is empty
[2024-09-14T11:06:50.727559] Incident queue is empty
[2024-09-14T11:06:51.727857] Incident queue is empty
[2024-09-14T11:06:52.728143] Incident queue is empty
[2024-09-14T11:06:53.728356] Incident queue is empty
[2024-09-14T11:06:54.728580] Incident queue is empty
[2024-09-14T11:06:55.728847] Incident queue is empty
[2024-09-14T11:06:56.729114] Incident queue is empty
[2024-09-14T11:06:57.729452] Incident queue is empty
[2024-09-14T11:06:58.729782] Incident queue is empty
[2024-09-14T11:06:59.730097] Incident queue is empty
[2024-09-14T11:07:00.730372] Incident queue is empty
[2024-09-14T11:07:01.730926] Incident queue is empty
[2024-09-14T11:07:02.731221] Incident queue is empty
[2024-09-14T11:07:03.731549] Incident queue is empty
[2024-09-14T11:07:04.731877] Incident queue is empty
[2024-09-14T11:07:05.732173] Incident queue is empty
[2024-09-14T11:07:06.732425] Incident queue is empty
[2024-09-14T11:07:07.732758] Incident queue is empty
[2024-09-14T11:07:08.733076] Incident queue is empty
[2024-09-14T11:07:09.733418] Incident queue is empty
[2024-09-14T11:07:10.733721] Incident queue is empty
[2024-09-14T11:07:11.734086] Incident queue is empty
[2024-09-14T11:07:12.734558] Incident queue is empty
[2024-09-14T11:07:13.734867] Incident queue is empty
[2024-09-14T11:07:14.735119] Incident queue is empty
[2024-09-14T11:07:15.735385] Incident queue is empty
[2024-09-14T11:07:16.735632] Incident queue is empty
[2024-09-14T11:07:17.735956] Incident queue is empty
[2024-09-14T11:07:18.736168] Incident queue is empty
[2024-09-14T11:07:19.736413] Incident queue is empty
[2024-09-14T11:07:20.736614] Incident queue is empty
[2024-09-14T11:07:21.736881] Incident queue is empty
[2024-09-14T11:07:22.737239] Incident queue is empty
[2024-09-14T11:07:23.737584] Incident queue is empty
[2024-09-14T11:07:24.737909] Incident queue is empty
[2024-09-14T11:07:25.738222] Incident queue is empty
[2024-09-14T11:07:26.738431] Incident queue is empty
[2024-09-14T11:07:27.738714] Incident queue is empty
[2024-09-14T11:07:28.739035] Incident queue is empty
[2024-09-14T11:07:29.739369] Incident queue is empty
[2024-09-14T11:07:30.740037] Incident queue is empty
[2024-09-14T11:07:31.740316] Incident queue is empty
[2024-09-14T11:07:32.740651] Incident queue is empty
[2024-09-14T11:07:33.740974] Incident queue is empty
[2024-09-14T11:07:34.741274] Incident queue is empty
[2024-09-14T11:07:35.741510] Incident queue is empty
[2024-09-14T11:07:36.741961] Incident queue is empty
[2024-09-14T11:07:37.742516] Incident queue is empty
[2024-09-14T11:07:38.743103] Incident queue is empty
[2024-09-14T11:07:39.747090] Incident queue is empty
[2024-09-14T11:07:40.747702] Incident queue is empty
[2024-09-14T11:07:41.747975] Incident queue is empty
[2024-09-14T11:07:42.748254] Incident queue is empty
[2024-09-14T11:07:43.748498] Incident queue is empty
[2024-09-14T11:07:44.748742] Incident queue is empty
[2024-09-14T11:07:45.749043] Incident queue is empty
[2024-09-14T11:07:46.749277] Incident queue is empty
[2024-09-14T11:07:47.749567] Incident queue is empty
[2024-09-14T11:07:48.749845] Incident queue is empty
[2024-09-14T11:07:49.750530] Incident queue is empty
[2024-09-14T11:07:50.750807] Incident queue is empty
